# Photons/cm2/s/nm/W(of effective power),,,,,,,
Lambda,Kowal.Incandescent,Kowal.Halogen,Kowal.LED,Kowal.CFL,Kowal.UFT,Kowal.CFT,Kowal.SFT
633,,,,3.36E+13,2.37E+12,9.94E+11,5.16E+12
634,7.33E+12,6.19E+12,9.07E+12,2.04E+13,1.32E+12,5.83E+11,3.03E+12
635,,,,1.58E+13,9.65E+11,4.46E+11,2.33E+12
636,7.46E+12,6.28E+12,8.90E+12,1.37E+13,8.28E+11,3.84E+11,2.04E+12
637,,,,1.22E+13,7.36E+11,3.41E+11,1.84E+12
638,7.56E+12,6.36E+12,8.70E+12,1.12E+13,6.66E+11,3.09E+11,1.67E+12
639,,,,1.04E+13,6.17E+11,2.90E+11,1.55E+12
640,7.69E+12,6.45E+12,8.49E+12,1.00E+13,6.04E+11,2.85E+11,1.53E+12
641,,,,1.00E+13,6.21E+11,2.90E+11,1.59E+12
642,7.84E+12,6.56E+12,8.30E+12,1.01E+13,6.54E+11,3.06E+11,1.69E+12
643,,,,1.03E+13,7.01E+11,3.27E+11,1.82E+12
644,7.97E+12,6.65E+12,8.08E+12,1.04E+13,7.57E+11,3.44E+11,1.96E+12
645,,,,1.03E+13,7.85E+11,3.50E+11,2.01E+12
646,8.09E+12,6.73E+12,7.84E+12,1.02E+13,7.67E+11,3.42E+11,1.96E+12
647,,,,1.02E+13,7.47E+11,3.32E+11,1.94E+12
648,8.21E+12,6.82E+12,7.62E+12,1.20E+13,8.01E+11,3.81E+11,2.17E+12
649,,,,2.08E+13,1.29E+12,6.52E+11,3.71E+12
650,8.32E+12,6.90E+12,7.39E+12,2.93E+13,2.06E+12,9.11E+11,5.32E+12
651,,,,2.75E+13,2.05E+12,8.35E+11,4.82E+12
652,8.45E+12,7.00E+12,7.15E+12,2.24E+13,1.51E+12,6.39E+11,3.63E+12
653,,,,1.86E+13,1.21E+12,5.07E+11,2.93E+12
654,8.59E+12,7.10E+12,6.92E+12,1.47E+13,9.17E+11,3.80E+11,2.18E+12
655,,,,1.22E+13,6.51E+11,2.86E+11,1.61E+12
656,8.72E+12,7.20E+12,6.68E+12,1.16E+13,5.41E+11,2.55E+11,1.41E+12
657,,,,1.21E+13,5.97E+11,2.78E+11,1.56E+12
658,8.87E+12,7.30E+12,6.44E+12,1.14E+13,6.10E+11,2.68E+11,1.54E+12
659,,,,9.43E+12,4.90E+11,2.18E+11,1.24E+12
660,8.98E+12,7.37E+12,6.20E+12,9.21E+12,4.37E+11,2.18E+11,1.21E+12
661,,,,1.45E+13,7.54E+11,3.96E+11,2.22E+12
662,9.10E+12,7.46E+12,5.96E+12,1.96E+13,1.29E+12,5.80E+11,3.39E+12
663,,,,1.77E+13,1.33E+12,5.40E+11,3.20E+12
664,9.21E+12,7.53E+12,5.72E+12,1.29E+13,9.45E+11,3.94E+11,2.30E+12
665,,,,9.69E+12,7.19E+11,3.05E+11,1.82E+12
666,9.35E+12,7.63E+12,5.49E+12,8.54E+12,6.81E+11,2.94E+11,1.81E+12
667,,,,8.33E+12,7.43E+11,3.14E+11,1.96E+12
668,9.48E+12,7.74E+12,5.28E+12,8.07E+12,7.56E+11,3.15E+11,1.95E+12
669,,,,7.66E+12,6.94E+11,2.92E+11,1.78E+12
670,9.61E+12,7.81E+12,5.04E+12,7.39E+12,6.23E+11,2.66E+11,1.63E+12
671,,,,7.16E+12,5.78E+11,2.51E+11,1.54E+12
672,9.73E+12,7.90E+12,4.82E+12,6.80E+12,5.43E+11,2.36E+11,1.45E+12
673,,,,6.40E+12,5.17E+11,2.23E+11,1.37E+12
674,9.87E+12,7.99E+12,4.61E+12,6.09E+12,4.92E+11,2.11E+11,1.30E+12
675,,,,5.91E+12,4.80E+11,2.09E+11,1.29E+12
676,1.00E+13,8.09E+12,4.41E+12,5.69E+12,5.04E+11,2.18E+11,1.37E+12
677,,,,5.69E+12,5.42E+11,2.34E+11,1.47E+12
678,1.02E+13,8.18E+12,4.22E+12,6.11E+12,6.07E+11,2.57E+11,1.63E+12
679,,,,6.76E+12,6.45E+11,2.68E+11,1.69E+12
680,1.03E+13,8.27E+12,4.02E+12,7.35E+12,6.26E+11,2.62E+11,1.64E+12
681,,,,7.41E+12,6.16E+11,2.55E+11,1.63E+12
682,1.04E+13,8.38E+12,3.85E+12,6.97E+12,5.96E+11,2.41E+11,1.56E+12
683,,,,6.64E+12,5.29E+11,2.14E+11,1.35E+12
684,1.06E+13,8.47E+12,3.66E+12,6.98E+12,4.36E+11,1.83E+11,1.13E+12
685,,,,8.95E+12,4.30E+11,2.07E+11,1.21E+12
686,1.07E+13,8.55E+12,3.47E+12,1.48E+13,7.56E+11,3.75E+11,2.17E+12
687,,,,2.07E+13,1.28E+12,5.64E+11,3.32E+12
688,1.08E+13,8.65E+12,3.31E+12,1.97E+13,1.32E+12,5.33E+11,3.15E+12
689,,,,1.40E+13,8.94E+11,3.63E+11,2.10E+12
690,1.10E+13,8.72E+12,3.13E+12,9.56E+12,5.75E+11,2.33E+11,1.39E+12
691,,,,7.31E+12,4.08E+11,1.72E+11,1.04E+12
692,1.12E+13,8.86E+12,3.00E+12,9.87E+12,5.15E+11,2.65E+11,1.53E+12
693,,,,1.43E+13,9.48E+11,4.14E+11,2.49E+12
694,1.13E+13,8.92E+12,2.84E+12,1.28E+13,9.47E+11,3.69E+11,2.24E+12
695,,,,8.03E+12,5.42E+11,2.22E+11,1.27E+12
696,1.14E+13,9.03E+12,2.70E+12,4.96E+12,3.23E+11,1.31E+11,7.70E+11
697,,,,3.40E+12,2.04E+11,8.69E+10,5.27E+11
698,1.15E+13,9.11E+12,2.55E+12,2.94E+12,1.65E+11,7.66E+10,4.57E+11
699,,,,2.94E+12,1.74E+11,8.16E+10,4.77E+11
700,1.17E+13,9.20E+12,2.42E+12,3.36E+12,1.95E+11,9.51E+10,5.31E+11
701,,,,3.98E+12,2.31E+11,1.10E+11,6.28E+11
702,1.18E+13,9.28E+12,2.28E+12,5.41E+12,2.97E+11,1.47E+11,8.21E+11
703,,,,8.30E+12,4.59E+11,2.26E+11,1.26E+12
704,1.20E+13,9.40E+12,2.17E+12,1.37E+13,7.24E+11,3.69E+11,2.07E+12
705,,,,2.74E+13,1.41E+12,7.53E+11,4.16E+12
706,1.21E+13,9.49E+12,2.05E+12,4.59E+13,2.81E+12,1.31E+12,7.65E+12
707,,,,5.66E+13,3.63E+12,1.60E+12,9.44E+12
708,1.23E+13,9.55E+12,1.93E+12,6.38E+13,4.17E+12,1.82E+12,1.08E+13
709,,,,5.69E+13,4.11E+12,1.65E+12,1.01E+13
710,1.25E+13,9.68E+12,1.83E+12,4.12E+13,2.79E+12,1.14E+12,6.75E+12
711,,,,4.64E+13,2.76E+12,1.29E+12,7.45E+12
712,1.26E+13,9.77E+12,1.73E+12,4.88E+13,3.45E+12,1.42E+12,8.67E+12
713,,,,3.31E+13,2.58E+12,9.68E+11,5.95E+12
714,1.27E+13,9.84E+12,1.63E+12,1.70E+13,1.23E+12,4.81E+11,2.85E+12
715,,,,7.76E+12,5.78E+11,2.19E+11,1.34E+12
716,1.28E+13,9.93E+12,1.54E+12,3.97E+12,2.72E+11,1.13E+11,6.59E+11
717,,,,2.77E+12,1.64E+11,7.80E+10,4.43E+11
718,1.30E+13,1.00E+13,1.45E+12,2.30E+12,1.41E+11,6.55E+10,4.00E+11
719,,,,2.21E+12,1.31E+11,6.18E+10,3.59E+11
720,1.31E+13,1.01E+13,1.37E+12,2.24E+12,1.23E+11,5.89E+10,3.23E+11
721,,,,2.16E+12,1.15E+11,5.77E+10,3.08E+11
722,1.33E+13,1.02E+13,1.30E+12,1.95E+12,1.05E+11,5.78E+10,2.84E+11
723,,,,1.83E+12,9.95E+10,5.38E+10,2.85E+11
724,1.35E+13,1.03E+13,1.22E+12,1.95E+12,1.03E+11,5.22E+10,3.10E+11
725,,,,1.96E+12,1.00E+11,5.59E+10,3.19E+11
726,1.36E+13,1.04E+13,1.15E+12,1.77E+12,9.16E+10,5.18E+10,3.10E+11
727,,,,1.71E+12,9.33E+10,5.21E+10,3.22E+11
728,1.38E+13,1.05E+13,1.08E+12,1.77E+12,9.43E+10,5.33E+10,3.29E+11
729,,,,1.76E+12,9.22E+10,5.02E+10,3.08E+11
730,1.39E+13,1.05E+13,1.01E+12,1.69E+12,9.37E+10,5.17E+10,2.80E+11
731,,,,1.57E+12,9.23E+10,4.46E+10,2.44E+11
732,1.40E+13,1.06E+13,9.50E+11,1.46E+12,8.47E+10,0,2.52E+11
733,,,,1.22E+12,7.52E+10,2.98E+10,2.57E+11
734,1.41E+13,1.07E+13,8.94E+11,1.11E+12,6.48E+10,4.13E+10,2.14E+11
735,,,,1.23E+12,0,1.47E+10,0
736,1.43E+13,1.08E+13,8.42E+11,1.23E+12,0,0,0
737,,,,1.45E+12,6.17E+10,0,2.38E+11
738,1.44E+13,1.09E+13,7.81E+11,1.56E+12,6.42E+10,0,2.46E+11
739,,,,1.41E+12,6.52E+10,0,2.09E+11
740,1.46E+13,1.10E+13,7.37E+11,1.74E+12,7.02E+10,4.31E+10,2.49E+11
741,,,,2.41E+12,1.13E+11,6.81E+10,4.14E+11
742,1.47E+13,1.11E+13,6.87E+11,2.94E+12,1.86E+11,8.60E+10,5.88E+11
743,,,,2.59E+12,1.82E+11,7.51E+10,5.02E+11
744,1.49E+13,1.12E+13,6.40E+11,1.84E+12,1.14E+11,5.54E+10,3.22E+11
745,,,,1.63E+12,8.61E+10,5.30E+10,2.78E+11
746,1.50E+13,1.12E+13,5.94E+11,1.62E+12,1.03E+11,5.21E+10,3.06E+11
747,,,,1.56E+12,9.88E+10,0,2.82E+11
748,1.52E+13,1.13E+13,5.58E+11,1.32E+12,0,0,0
749,,,,1.48E+12,0,0,0
750,1.53E+13,1.14E+13,5.14E+11,2.08E+12,5.08E+10,0,0
751,,,,2.05E+12,8.36E+10,0,0
752,1.55E+13,1.15E+13,4.80E+11,1.47E+12,0,0,0
753,,,,0,0,0,0
754,1.56E+13,1.16E+13,4.43E+11,0,0,0,0
755,,,,0,0,0,0
756,1.57E+13,1.17E+13,4.15E+11,0,0,0,0
757,,,,0,0,0,0
758,1.58E+13,1.18E+13,3.79E+11,0,0,0,0
759,,,,0,0,0,0
760,1.60E+13,1.19E+13,3.58E+11,0,0,0,0
761,,,,0,0,0,0
762,1.61E+13,1.19E+13,3.36E+11,1.76E+12,0,0,0
763,,,,2.65E+12,1.36E+11,0,1.00E+11
764,1.63E+13,1.20E+13,3.12E+11,1.84E+12,1.20E+11,4.29E+09,2.75E+11
765,,,,0,7.08E+10,0,1.17E+11
766,1.64E+13,1.21E+13,2.87E+11,0,0,0,0
767,,,,0,0,0,0
768,1.66E+13,1.22E+13,2.67E+11,0,0,0,0
769,,,,0,0,0,0
770,1.68E+13,1.23E+13,2.46E+11,0,0,0,0
771,,,,6.82E+11,0,0,0
772,1.68E+13,1.23E+13,2.24E+11,1.61E+12,8.83E+10,0,1.70E+11
773,,,,1.52E+12,7.86E+10,0,2.00E+11
774,1.69E+13,1.24E+13,2.02E+11,1.21E+12,0,0,1.89E+11
775,,,,7.82E+11,0,0,2.56E+10
776,1.72E+13,1.26E+13,1.85E+11,0,0,0,0
777,,,,0,0,0,0
778,1.73E+13,1.26E+13,1.66E+11,0,0,0,0
779,,,,0,0,0,0
780,1.74E+13,1.27E+13,1.44E+11,0,0,0,0
781,,,,0,0,0,0
782,1.75E+13,1.28E+13,1.25E+11,0,0,0,0
783,,,,0,0,0,0
784,1.77E+13,1.29E+13,1.07E+11,0,0,0,0
785,,,,0,0,0,0
786,1.79E+13,1.30E+13,9.64E+10,0,0,0,0
787,,,,0,0,0,0
788,1.80E+13,1.30E+13,7.42E+10,0,0,0,0
789,,,,0,0,0,0
790,1.82E+13,1.31E+13,5.54E+10,0,0,0,0
791,,,,0,0,0,0
792,1.83E+13,1.32E+13,3.63E+10,0,0,0,0
793,,,,0,0,0,0
794,1.84E+13,1.33E+13,0,0,0,0,0
795,,,,0,0,0,0
796,1.85E+13,1.34E+13,0,0,0,0,0
797,,,,0,0,0,0
798,1.87E+13,1.35E+13,0,0,0,0,0
799,,,,0,0,0,0
800,1.88E+13,1.35E+13,0,0,0,0,0
