Wavelength,X,yield
0.3165,7.25E-21,1
0.317,6.92E-21,1
0.3175,6.43E-21,1
0.318,6.07E-21,1
0.3185,5.64E-21,1
0.319,5.19E-21,1
0.3195,4.66E-21,1
0.32,4.36E-21,1
0.3205,3.95E-21,1
0.321,3.64E-21,1
0.3215,3.38E-21,1
0.322,3.17E-21,1
0.3225,2.80E-21,1
0.323,2.62E-21,1
0.3235,2.29E-21,1
0.324,2.13E-21,1
0.3245,1.93E-21,1
0.325,1.70E-21,1
0.3255,1.58E-21,1
0.326,1.48E-21,1
0.3265,1.24E-21,1
0.327,1.20E-21,1
0.3275,1.04E-21,1
0.328,9.51E-22,1
0.3285,8.44E-22,1
0.329,7.26E-22,1
0.3295,6.70E-22,1
0.33,6.08E-22,1
0.3305,5.15E-22,1
0.331,4.56E-22,1
0.3315,4.13E-22,1
0.332,3.56E-22,1
0.3325,3.30E-22,1
0.333,2.97E-22,1
0.3335,2.67E-22,1
0.334,2.46E-22,1
0.3345,2.21E-22,1
0.335,1.93E-22,1
0.3355,1.56E-22,1
0.336,1.47E-22,1
0.3365,1.37E-22,1
0.337,1.27E-22,1
0.3375,1.19E-22,1
0.338,1.09E-22,1
0.3385,1.01E-22,1
0.339,9.09E-23,1
0.3395,8.22E-23,1
0.34,7.66E-23,1
0.3405,7.43E-23,1
0.341,6.83E-23,1
0.3415,6.72E-23,1
0.342,6.04E-23,1
0.3425,4.78E-23,1
0.343,0,1
