,100,200,250,275,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780,785,790,795,800,805,810,815,820,825,830,835,840,845,850,855,860,865,870,875,880,885,890,895,900,905,910,915,920,925,930,935,940,945,950,955,960,965,970,975,980,985,990,995,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2050,2100,2150,2200,2250,2300,2350,2400,2450,2500
None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laminate996,0,0,0,0,0.0001,0.0001,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0,0,0.0001,0.0001,0.0006,0.0048,0.0301,0.119,0.2967,0.5085,0.6714,0.763,0.8068,0.8271,0.8364,0.84,0.8426,0.8477,0.8523,0.8587,0.8641,0.8682,0.871,0.8732,0.875,0.8765,0.8779,0.8786,0.8796,0.8808,0.8814,0.8816,0.8817,0.8812,0.8804,0.8797,0.8787,0.8774,0.8763,0.8745,0.8736,0.8714,0.8688,0.8666,0.8635,0.86,0.858,0.8548,0.8513,0.8476,0.8435,0.8394,0.8352,0.8307,0.8259,0.8216,0.8171,0.8127,0.808,0.8029,0.7981,0.7928,0.7877,0.7824,0.7769,0.7713,0.7657,0.7602,0.7545,0.7486,0.743,0.7378,0.7325,0.7265,0.7205,0.7149,0.7089,0.703,0.6976,0.6924,0.6868,0.6814,0.6758,0.6703,0.6653,0.6602,0.6557,0.6506,0.6455,0.6419,0.6369,0.6321,0.6283,0.6238,0.62,0.6176,0.6144,0.6107,0.6071,0.6051,0.6033,0.6004,0.5979,0.5953,0.5925,0.589,0.5857,0.5831,0.5803,0.5772,0.5743,0.5722,0.5705,0.5688,0.5673,0.5662,0.5649,0.5637,0.5625,0.5611,0.5597,0.5582,0.557,0.5557,0.5545,0.5534,0.5523,0.5514,0.5505,0.5449,0.5454,0.5392,0.5071,0.5496,0.5751,0.586,0.5655,0.5603,0.619,0.649,0.67,0.6763,0.4678,0.4431,0.5458,0.57,0.5759,0.5725,0.5731,0.4916,0.4821,0.5049,0.4777,0.3258,0.0327,0.0637,0.0893,0.0517,0.0708
