# min,W,W,
Time,Light1,Light2,Light3
0,8,60,0
180,8,60,0
181,8,0,0
238,8,0,0
240,0,0,0
1290,0,0,0
1291,0,0,15
1410,0,0,15
1411,8,0,0
1440,8,0,0
1441,8,0,0
1510,8,0,0
1511,8,60,0
1590,8,60,0
1591,0,0,0
2880,0,0,0
